Communication_number,Social_unit,Part_exchange,Gesture_start_time,Duration_analysis_include,Mau_end_time,Outcome_time,Outcome,Sgn_ID,Rcp_ID,Signaller_age,Recipient_age,Goal_anon
100133p2,Sonso,1_1,11.2,Exclude,13.96,15.6,Exclude,ID_145,ID_157,19,29,Goal_26
100133p1,Sonso,1_1,2.08,Include,3.08,NA,NoValue,ID_145,ID_157,19,29,Goal_26
100133p2,Sonso,1_1,0.56,Include,1.96,15.6,Exclude,ID_145,ID_157,19,29,Goal_26
102147,Sonso,1_1,48.12,Include,49.28,48.44,TimeExcludeRecipient,ID_145,Other_spec,17,NA,Goal_5
102147,Sonso,1_1,47.24,Include,48.12,48.44,TimeExcludeRecipient,ID_145,Other_spec,17,NA,Goal_5
100267,Sonso,1_1,0.16,Include,0.76,3.28,Exclude,ID_145,Unk,19,NA,Goal_9
100267,Sonso,1_1,2.76,Exclude,3.28,3.28,Exclude,ID_145,Unk,19,NA,Goal_9
100003,Sonso,1_1,4,Include,4.68,4.96,NoValue,ID_145,Unk,19,NA,Goal_9
100267,Sonso,1_1,1.52,Include,2,3.28,Exclude,ID_145,Unk,19,NA,Goal_9
100837,Sonso,1_1,0,Include,2.08,30.04,GoalAmbiguous,ID_145,ID_242,16,27,Goal_2
100837,Sonso,1_1,16.32,Include,19.36,30.04,GoalAmbiguous,ID_145,ID_242,16,27,Goal_2
101294,Sonso,1_1,3.64,Include,4.04,9.88,OtherRecipient,ID_145,ID_247,16,7,NA
101294,Sonso,1_1,2.2,Include,2.96,9.88,OtherRecipient,ID_145,ID_247,16,7,NA
100830,Sonso,1_1,58.8,Include,61.04,61.92,GoalRecipient,ID_145,ID_251,16,13,Goal_11
300557,Waibira,1_1,77.283,Include,77.741,78.826,GoalRecipient,ID_146,ID_12,33,5,Goal_5
300812,Waibira,1_1,22.366,Include,23.316,23.598,GoalRecipient,ID_146,ID_37,37,18,Goal_1
300574b,Waibira,Unclear,4.31,Include,5.893,12.52,GoalSignaller,ID_146,ID_133,34,5,Goal_21
300558,Waibira,1_1,79.563,Include,80.118,83.064,GoalRecipient,ID_146,ID_133,33,4,Goal_6
300578b,Waibira,4_4,11.434,Include,13.174,14.057,GoalRecipient,ID_146,ID_133,34,5,Goal_7
300578b,Waibira,2_4,5.197,Include,7.781,14.057,GoalRecipient,ID_146,ID_133,34,5,Goal_7
300573,Waibira,Unclear,49.687,Include,51.421,58.74,GoalRecipient,ID_146,ID_133,34,5,Goal_7
300574b,Waibira,Unclear,9.586,Include,11.037,12.52,GoalSignaller,ID_146,ID_133,34,5,Goal_21
310170,Kalinzu,1_1,49.947,Include,50.464,49.947,Exclude,ID_147,ID_31,NA,9,Goal_9
